"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"G234064","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Cell morphology and organelle mutants","PS00824","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234064","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Cell morphology and organelle mutants","PS00824","1","PROTEIN SYNTHESIS","cytoplasm."
"G234064","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Cell morphology and organelle mutants","PS00825","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234064","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Cell morphology and organelle mutants","PS00825","1","PROTEIN SYNTHESIS","cytoplasm."
"G234065","Non-Essential","ATPases","Translation complexes","Conditional phenotypes","PS00211","1","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234065","Non-Essential","ATPases","Translation complexes","Conditional phenotypes","PS00298","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234065","Non-Essential","ATPases","Cytoskeleton","Sensitivity to aminoacid analogs and other drugs","PS00017","1","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234065","Non-Essential","ATPases","Proteasome","Cell morphology and organelle mutants","PS00018","1","PROTEIN DESTINATION","cytoplasm."
"G234065","Non-Essential","Molecular chaperones","Gim complexes","Conditional phenotypes","PS00298","1","CELL RESCUE, DEFENSE, CELL DEATH AND AGEING","cytoplasm."
"G234065","Non-Essential","Molecular chaperones","Gim complexes","Conditional phenotypes","PS00298","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234065","Non-Essential","Molecular chaperones","Kel1p/Kel2p complex","Mating and sporulation defects","PS00017","1","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoplasm."
"G234065","Non-Essential","Molecular chaperones","Gim complexes","Cell morphology and organelle mutants","PS00017","1","PROTEIN DESTINATION","cytoplasm."
"G234070","Non-Essential","ATPases","Cytoskeleton","Mating and sporulation defects","PS00017","1","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoskeleton."
"G234070","Non-Essential","ATPases","Cytoskeleton","Mating and sporulation defects","PS00017","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoskeleton."
"G234070","Non-Essential","ATPases","Cytoskeleton","Mating and sporulation defects","PS00017","1","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoskeleton."
"G234070","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017","1","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoskeleton."
"G234070","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoskeleton."
"G234070","Non-Essential","Motorproteins","Cytoskeleton","Mating and sporulation defects","PS00017","1","CELLULAR TRANSPORT AND TRANSPORTMECHANISMS","cytoskeleton."
"G234073","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00013","1","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234073","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00013","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Cell morphology and organelle mutants","PS00741","1","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Cell morphology and organelle mutants","PS00741","1","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Cell morphology and organelle mutants","PS00741","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Conditional phenotypes","PS00741","1","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Conditional phenotypes","PS00741","1","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Conditional phenotypes","PS00741","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Mating and sporulation defects","PS00741","1","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Mating and sporulation defects","PS00741","1","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Mating and sporulation defects","PS00741","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Stress response defects","PS00741","1","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Stress response defects","PS00741","1","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234074","Essential","GTP/GDP-exchange factors (GEFs)","Translation complexes","Stress response defects","PS00741","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
"G234076","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00463","1","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","nucleus."
"G234076","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00463","1","METABOLISM","nucleus."
"G234076","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00463","1","TRANSCRIPTION","nucleus."
"G234084","Non-Essential","Protein Kinases","cAMP-dependent protein kinase","Cell cycle defects","PS00107","2","CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS","cytoplasm."
"G234084","Non-Essential","Protein Kinases","cAMP-dependent protein kinase","Cell cycle defects","PS00107","2","CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION","cytoplasm."
"G234084","Non-Essential","Protein Kinases","cAMP-dependent protein kinase","Nucleic acid metabolism defects","PS00107","2","CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)","cytoplasm."
