"V1","V2","V3","V4","V5","V6","V7","V9"
"G234273","Essential","ATPases","Chaperonine containing T-complex TRiC (TCP RING Complex)","Cell morphology and organelle mutants","PS00750","4","?."
"G234490","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00028","8","?."
"G236380","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00866","7","?."
"G234394","Essential","Actins","Cytoskeleton","Cell cycle defects","PS00432","6","?."
"G234385","Non-Essential","Molecular chaperones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00190","6","?."
"G234365","Essential","Ubiquitin-system proteins","RNA processing complexes","Sensitivity to aminoacid analogs and other drugs","PS01159","5","?."
"G235818","Non-Essential","GTP-binding proteins","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00037","15","?."
"G235319","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","5","?."
"G234573","Essential","Molecular chaperones","Translocon","Cell morphology and organelle mutants","PS00297","10","?."
"G236758","Non-Essential","Ubiquitin-system proteins","Translocon","Cell morphology and organelle mutants","PS00633","4","?."
"G234364","Essential","Protein Kinases","Casein kinase","Nucleic acid metabolism defects","PS00108","5","?."
"G238800","Non-Essential","GTP-binding proteins","Translocon","Stress response defects","PS00599","4","?."
"G234247","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell cycle defects","PS00183","4","?."
"G237124","Essential","Transcription factors","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00350","13","?."
"G235916","Essential","Polymerases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00782","9","?."
"G235909","Essential","ATPases","Replication complexes","Nucleic acid metabolism defects","PS00847","16","?."
"G235001","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Mating and sporulation defects","PS00108","16","?."
"G235488","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Stress response defects","PS00678","9","?."
"G235268","Essential","Ubiquitin-system proteins","Kinetochore protein complexes","Cell cycle defects","PS00183","4","?."
"G235748","Non-Essential","GTP-binding proteins","RNA processing complexes","Conditional phenotypes","PS00017","13","?."
"G234189","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00463","3","?."
"G236813","Non-Essential","GTP/GDP-exchange factors (GEFs)","RNA processing complexes","Cell cycle defects","PS00108","16","?."
"G234485","Non-Essential","Protein Kinases","Hexokinase 2","Mating and sporulation defects","PS00107","8","?."
"G235354","Essential","ATPases","Proteasome","Cell cycle defects","PS00854","6","?."
"G235389","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00866","7","?."
"G235233","Non-Essential","Ubiquitin-system proteins","Transcription complexes/Transcriptosome","Cell cycle defects","PS00017","4","?."
"G235001","Non-Essential","Protein Kinases","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell morphology and organelle mutants","PS00108","16","?."
"G234791","Non-Essential","GTP-binding proteins","Translation complexes","Cell cycle defects","PS00017","13","?."
"G235538","Essential","Ubiquitin-system proteins","Replication complexes","Cell morphology and organelle mutants","PS00297","10","?."
"G236279","Non-Essential","Protein Kinases","Hexokinase 2","Stress response defects","PS00867","7","?."
"G237321","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00867","7","?."
"G235888","Non-Essential","Protein Kinases","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00107","16","?."
"G235319","Non-Essential","GTPase activating proteins (GAPs)","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00037","5","?."
"G235367","Essential","ATPases","Nuclear pore complex (NPC)","Cell morphology and organelle mutants","PS00325","7","?."
"G235855","Non-Essential","Major facilitator superfamily proteins (MFS)","Proteasome","Conditional phenotypes","PS00387","15","?."
"G235097","Non-Essential","Protein phosphatases","Nem1p-Spo7p complex","Mating and sporulation defects","PS00225","1","?."
"G235746","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Cell cycle defects","PS00017","13","?."
"G234704","Non-Essential","Ubiquitin-system proteins","Translation complexes","Stress response defects","PS00299","12","?."
"G235094","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00078","4","?."
"G234433","Non-Essential","Protein Kinases","Transcription complexes/Transcriptosome","Cell morphology and organelle mutants","PS00107","7","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","16","?."
"G239304","Non-Essential","Protein Kinases","Hexokinase 2","Mating and sporulation defects","PS00225","10","?."
"G238662","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00633","2","?."
"G234612","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Auxotrophies, carbon and","PS00038","10","?."
"G235908","Non-Essential","Transcription factors","Assembly complexes","Nucleic acid metabolism defects","PS00633","16","?."
"G235236","Essential","ATPases","RNA processing complexes","Cell morphology and organelle mutants","PS00325","4","?."
"G237392","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00402","7","?."
"G237587","Ambiguous-Essential","Major facilitator superfamily proteins (MFS)","Translocon","Cell cycle defects","PS00765","2","?."
"G234267","Essential","GTP-binding proteins","Translation complexes","Auxotrophies, carbon and","PS00017","4","?."
"G235878","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00017","16","?."
"G239938","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS00037","13","?."
"G234773","Non-Essential","ATPases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","13","?."
"G238132","Non-Essential","GTP/GDP-exchange factors (GEFs)","Intracellular transport complexes","Stress response defects","PS00017","16","?."
"G234147","Essential","Polymerases","Transcription complexes/Transcriptosome","Conditional phenotypes","PS01166","2","?."
"G235224","Non-Essential","Ubiquitin-system proteins","Translocon","Carbohydrate and lipid biosynthesis defects","PS00013","4","?."
"G235783","Non-Essential","Cyclins","Transcription complexes/Transcriptosome","Mating and sporulation defects","PS00463","14","?."
"G234470","Ambiguous-Essential","Major facilitator superfamily proteins (MFS)","Nuclear pore complex (NPC)","Stress response defects","PS00218","7","?."
"G234199","Essential","Ubiquitin-system proteins","SCF (Skp1-Cdc53-F-box protein) complexes","Cell cycle defects","PS00183","4","?."
"G234268","Non-Essential","Ubiquitin-system proteins","Translocon","Stress response defects","PS00028","4","?."
"G234213","Non-Essential","GTP-binding proteins","Intracellular transport complexes","Stress response defects","PS01019","4","?."
"G235081","Non-Essential","ATPases","Intracellular transport complexes","Mating and sporulation defects","PS00017","16","?."
"G237587","Ambiguous-Essential","Major facilitator superfamily proteins (MFS)","Translocon","Cell cycle defects","PS00174","2","?."
"G234671","Essential","Other kinases","Anaphase promoting complex (APC)","Sensitivity to immunosuppressants","PS00951","11","?."
"G234385","Non-Essential","Molecular chaperones","RNA processing complexes","Conditional phenotypes","PS00637","6","?."
"G234081","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00357","2","?."
"G236812","Essential","Transcription factors","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00017","7","?."
"G235369","Non-Essential","Transcription factors","Nuclear pore complex (NPC)","Mating and sporulation defects","PS00687","7","?."
"G235055","Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00343","16","?."
"G235547","Non-Essential","Transcription factors","Cytoskeleton","Cell cycle defects","PS00038","10","?."
"G239835","Non-Essential","Ubiquitin-system proteins","Translocon","Stress response defects","PS00028","4","?."
"G236380","Non-Essential","Transcription factors","Intracellular transport complexes","Conditional phenotypes","PS00402","7","?."
"G240373","Non-Essential","Transcription factors","Translocon","Conditional phenotypes","PS00028","4","?."
"G237387","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00108","14","?."
"G235356","Essential","ATPases","Translocon","Sensitivity to aminoacid analogs and other drugs","PS00297","7","?."
"G234847","Non-Essential","Cyclins","Cyclin-CDK (Cyclin-dependent kinases) complexes","Cell cycle defects","PS00108","14","?."
"G234531","Non-Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017","9","?."
"G235612","Non-Essential","Protein phosphatases","Transcription complexes/Transcriptosome","Nucleic acid metabolism defects","PS00017","12","?."
"G235831","Essential","Transcription factors","Translocon","Sensitivity to aminoacid analogs and other drugs","PS01071","15","?."
"G235305","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","Carbohydrate and lipid biosynthesis defects","PS00463","5","?."
